"Time","OD"
"00:04:22","0.082"
"00:08:23","0.083"
"00:12:22","0.083"
"00:16:22","0.083"
"00:20:23","0.083"
"00:24:23","0.083"
"00:28:23","0.083"
"00:32:22","0.084"
"00:36:23","0.084"
"00:40:23","0.084"
"00:44:23","0.084"
"00:48:22","0.084"
"00:52:23","0.084"
"00:56:23","0.084"
"01:00:23","0.085"
"01:04:22","0.085"
"01:08:23","0.085"
"01:12:23","0.085"
"01:16:23","0.086"
"01:20:22","0.086"
"01:24:23","0.086"
"01:28:23","0.087"
"01:32:23","0.087"
"01:36:22","0.088"
"01:40:23","0.088"
"01:44:23","0.089"
"01:48:23","0.089"
"01:52:22","0.090"
"01:56:23","0.090"
"02:00:23","0.092"
"02:04:23","0.092"
"02:08:22","0.093"
"02:12:23","0.094"
"02:16:23","0.095"
"02:20:23","0.097"
"02:24:22","0.098"
"02:28:23","0.099"
"02:32:23","0.100"
"02:36:23","0.103"
"02:40:22","0.105"
"02:44:23","0.107"
"02:48:23","0.109"
"02:52:22","0.112"
"02:56:22","0.114"
"03:00:23","0.118"
"03:04:23","0.121"
"03:08:22","0.125"
"03:12:22","0.128"
"03:16:23","0.133"
"03:20:23","0.138"
"03:24:22","0.141"
"03:28:22","0.147"
"03:32:23","0.153"
"03:36:23","0.158"
"03:40:22","0.167"
"03:44:22","0.174"
"03:48:23","0.184"
"03:52:23","0.191"
"03:56:23","0.202"
"04:00:22","0.213"
"04:04:23","0.224"
"04:08:23","0.233"
"04:12:23","0.246"
"04:16:22","0.257"
"04:20:23","0.271"
"04:24:23","0.285"
"04:28:22","0.298"
"04:32:22","0.309"
"04:36:23","0.325"
"04:40:23","0.337"
"04:44:22","0.346"
"04:48:22","0.361"
"04:52:23","0.374"
"04:56:23","0.385"
"05:00:22","0.399"
"05:04:22","0.412"
"05:08:23","0.425"
"05:12:23","0.439"
"05:16:23","0.450"
"05:20:22","0.457"
"05:24:23","0.471"
"05:28:23","0.482"
"05:32:23","0.498"
"05:36:22","0.515"
"05:40:23","0.525"
"05:44:23","0.534"
"05:48:23","0.543"
"05:52:22","0.553"
"05:56:23","0.559"
"06:00:23","0.564"
"06:04:22","0.571"
"06:08:22","0.582"
"06:12:23","0.596"
"06:16:23","0.599"
"06:20:22","0.614"
"06:24:22","0.619"
"06:28:23","0.623"
"06:32:23","0.632"
"06:36:23","0.639"
"06:40:22","0.638"
"06:44:23","0.647"
"06:48:23","0.649"
"06:52:23","0.673"
"06:56:23","0.692"
"07:00:23","0.669"
"07:04:23","0.703"
"07:08:23","0.683"
"07:12:23","0.692"
"07:16:23","0.696"
"07:20:23","0.698"
"07:24:22","0.703"
"07:28:23","0.706"
"07:32:23","0.732"
"07:36:23","0.718"
"07:40:22","0.712"
"07:44:23","0.715"
"07:48:23","0.734"
"07:52:23","0.750"
"07:56:23","0.746"
"08:00:23","0.747"
"08:04:23","0.743"
"08:08:23","0.761"
"08:12:22","0.769"
"08:16:23","0.778"
"08:20:23","0.761"
"08:24:23","0.767"
"08:28:22","0.774"
"08:32:23","0.771"
"08:36:23","0.792"
"08:40:23","0.788"
"08:44:22","0.803"
"08:48:23","0.810"
"08:52:23","0.812"
"08:56:23","0.815"
"09:00:22","0.816"
"09:04:23","0.811"
"09:08:23","0.832"
"09:12:23","0.822"
"09:16:22","0.833"
"09:20:23","0.854"
"09:24:23","0.850"
"09:28:23","0.845"
"09:32:22","0.852"
"09:36:23","0.851"
"09:40:23","0.863"
"09:44:23","0.872"
"09:48:22","0.883"
"09:52:23","0.885"
"09:56:23","0.884"
"10:00:23","0.893"
"10:04:22","0.894"
"10:08:23","0.892"
"10:12:23","0.901"
"10:16:22","0.915"
"10:20:22","0.916"
"10:24:23","0.912"
"10:28:23","0.915"
"10:32:23","0.933"
"10:36:22","0.923"
"10:40:23","0.929"
"10:44:23","0.947"
"10:48:23","0.952"
"10:52:22","0.948"
"10:56:23","0.954"
"11:00:23","0.954"
"11:04:23","0.949"
"11:08:22","0.953"
"11:12:23","0.964"
"11:16:23","0.969"
"11:20:23","0.963"
"11:24:22","0.961"
"11:28:23","0.989"
"11:32:23","0.985"
"11:36:23","0.983"
"11:40:22","0.985"
"11:44:23","1.006"
"11:48:23","0.979"
"11:52:23","1.002"
"11:56:22","1.000"
"12:00:23","1.010"
"12:04:23","1.016"
"12:08:23","1.010"
"12:12:22","1.027"
"12:16:23","1.024"
"12:20:23","1.021"
"12:24:23","1.028"
"12:28:22","1.040"
"12:32:23","1.037"
"12:36:23","1.045"
"12:40:22","1.041"
"12:44:22","1.054"
"12:48:23","1.051"
"12:52:23","1.053"
"12:56:23","1.058"
"13:00:22","1.059"
"13:04:23","1.079"
"13:08:23","1.086"
"13:12:23","1.066"
"13:16:22","1.087"
"13:20:23","1.083"
"13:24:23","1.091"
"13:28:22","1.079"
"13:32:22","1.109"
"13:36:23","1.112"
"13:40:23","1.111"
"13:44:22","1.115"
"13:48:22","1.103"
"13:52:23","1.134"
"13:56:23","1.127"
"14:00:23","1.134"
"14:04:22","1.136"
"14:08:23","1.128"
"14:12:23","1.136"
"14:16:22","1.139"
"14:20:22","1.146"
"14:24:23","1.157"
"14:28:23","1.161"
"14:32:23","1.152"
"14:36:22","1.161"
"14:40:23","1.162"
"14:44:23","1.162"
"14:48:23","1.176"
"14:52:22","1.183"
"14:56:23","1.188"
"15:00:23","1.185"
"15:04:22","1.187"
"15:08:22","1.193"
"15:12:23","1.204"
"15:16:23","1.194"
"15:20:23","1.195"
"15:24:22","1.197"
"15:28:23","1.212"
"15:32:23","1.219"
"15:36:23","1.218"
"15:40:22","1.222"
"15:44:23","1.224"
"15:48:23","1.232"
"15:52:22","1.230"
"15:56:22","1.236"
"16:00:23","1.233"
"16:04:23","1.242"
