"Year";"Type";"Area";"Activity";"Sex ";"Age";"Injury";"Fatal (Y/N)";"Species "
"1989";"Unprovoked";"KwaZulu-Natal";"Windsurfing";"M";"26";"Foot bruised & minor lacerations";"N";
"1989";"Unprovoked";"KwaZulu-Natal";"Lifesaving drill";"M";"19";"Thigh bitten";"N";
"1988";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"36";"Left arm lacerated";"N";"White shark"
"1988";"Invalid";"KwaZulu-Natal";;"F";;"Arm washed ashore. scratch marks on the humerus indicated it had been bitten by a shark, but cause of death could not be determined.";;"Shark involvement prior to death was not confirmed"
"1988";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";"17";"Lower left leg bitten, hand lacerated";"N";"1.5 m to 2 m [5' to 6.75'] shark"
"1988";"Watercraft";"KwaZulu-Natal";;;;"No injury to occupants, pontoon puctured";"N";"Raggedtooth shark, 2 m "
"1988";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"20";"Ankle bitten";"N";"1 m ""grey-colored"" shark"
"1988";"Unprovoked";"KwaZulu-Natal";"Lying atop surfboard";"F";"15";"Leg bitten, surgically amputated";"N";"Zambezi shark (tooth fragments recovered)"
"1988";"Invalid";"KwaZulu-Natal";"Surfing";"M";"22";"Minor injury to leg";;"Shark involvement not confirmed"
"1988";"Provoked";"Western Cape Province";"Attempting to lasso shark's tail";"M";"33";"Foot lacerated by hooked shark PROVOKED INCIDENT";"N";"1.5 m copper shark"
"1988";"Provoked";"Western Cape Province";"Returning to shore, collided with shark";;;"No injury to occupants; shark ripped off fibreglass hull, swamping boat PROVOKED INCIDENT";"N";"6 m shark"
"1987";"Invalid";"KwaZulu-Natal";;"M";;"Possible drowning / scavenging";;"Shark involvement prior to death was not confirmed"
"1987";"Invalid";"KwaZulu-Natal";"Boogie boarding";"M";"14";"Abrasion to forearm";;"Questionable incident"
"1987";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"21";"Left thigh & calf lacerated";"N";"White shark"
"1987";"Unprovoked";"Western Cape Province";"Surfing";"M";"24";"Torso lacerated";"N";"3.5 m [11.5']  white shark"
"1987";"Invalid";"KwaZulu-Natal";"Fishing";"M";;"Slipped off rocks & was treading water when he disappeared, body mutilated by shark/s";;"Shark involvement prior to death was not confirmed"
"1987";"Provoked";"Western Cape Province";;;;"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT";"N";"3 m white shark"
"1987";"Unprovoked";"Eastern Cape Province";"Spearfishing";"M";"30";"Puncture wounds to right hand";"N";">2.5 m [8.25'] white shark"
"1986";"Unprovoked";"Western Cape Province";"Spearfishing";"M";;"2 punctures in lower leg";"N";"Raggedtooth shark, 2.5 m [8.25'] "
"1986";"Unprovoked";"Western Cape Province";"Body boarding";"M";"21";"FATAL, legs bitten ";"Y";"3 m [10'] white shark"
"1986";"Invalid";"Western Cape Province";"Spearfishing";"M";"22";"No injury, no attack, 1.8 m copper shark made threat displays";;"Invalid"
"1986";"Provoked";"KwaZulu-Natal";"NSB Meshing";"M";;"Minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat PROVOKED INCIDENT";"N";"Raggedtooth shark, 1.96 m, 140-kg "
"1986";"Unprovoked";"KwaZulu-Natal";"Racing ski";"M";"32";"No injury, ski bitten";"N";"1.6 m shark"
"1986";"Invalid";"Western Cape Province";"Spearfishing";"M";"35";"No injury, shark made threat display & impaled itself on spear ";;"Invalid"
"1986";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"26";"Minor lacerations on left hand";"N";"1.2 m [4'] dusky shark"
"1986";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"26";"Foot bitten";"N";">1 m shark"
"1986";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"23";"No injury, board struck by shark";"N";"2 m [6.75'] shark"
"1986";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"21";"No injury, board bitten";"N";">2.4 m [8'] white shark"
"1986";"Unprovoked";"Eastern Cape Province";"Surfing";"M";;"No injury, knocked off board";"N";
"1986";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"46";"Lower leg lacerated";"N";"Raggedtooth shark"
"1986";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"29";"2 punctures in upper arm";"N";"Raggedtooth shark, 2 m [6.75'] "
"1985";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";;"Both surfers boards were bumped by sharks, Moolman sustained abrasions on his arm and leg";"N";
"1985";"Unprovoked";"Eastern Cape Province";"Body boarding";"M";"22";"Left leg severely lacerated, superficial lacerations of right leg,  board damaged";"N";"2.5 m [8.25'] white shark"
"1985";"Invalid";"KwaZulu-Natal";"Swimming";"M";"21";"Probable drowning / scavenging";;"Shark involvement prior to death was not confirmed"
"1985";"Provoked";"KwaZulu-Natal";"Spearfishing";"M";"39";"After diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  PROVOKED INCIDENT";"N";"30-kg [66-lb] shark"
"1985";"Unprovoked";"Western Cape Province";"Swimming";"M";"15";"Right knee, calf and ankle lacerated";"N";"Raggedtooth shark"
"1985";"Invalid";"KwaZulu-Natal";;"M";;"Probable drowning / scavenging";;"Shark involvement prior to death was not confirmed"
"1985";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";"18";"Thigh & calf bitten";"N";"3.5 m white shark, tooth fragments recovered"
"1985";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"34";"Minor injury to torso";"N";"3.5 m [11.5'] white shark"
"1985";"Provoked";"KwaZulu-Natal";"Spearfishing";"M";"20";"Upper right arm bitten after he shot the shark PROVOKED INCIDENT";"N";"1.5 m [5'] dusky shark"
"1984";"Invalid";"Western Cape Province";"Spearfishing";"M";"21";"FATAL, but shark involvement prior to death could not be determined";;"Shark involvement prior to death was not confirmed"
"1984";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";;"No injury, shark hit swim fin";"N";"Raggedtooth shark "
"1984";"Unprovoked";"Western Cape Province";"Surfing";"M";"27";"No injury, board bitten";"N";"2.4 m [8'] white shark"
"1984";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"28";"Swim fin bitten";"N";
"1984";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";;"No injury, 8 pressure dings in surboard";"N";
"1984";"Watercraft";"Eastern Cape Province";"Rowing";"M";;"No injury to occupant, shark seized oar and disappeared with it.";"N";"2.5 m [8.25'] shark"
"1984";"Provoked";"Eastern Cape Province";"Fishing";"M";;"Leg lacerated by hooked shark PROVOKED INCIDENT";"N";"Raggedtooth shark, 56-kg [123-lb] "
"1984";"Provoked";"KwaZulu-Natal";"Scuba diving";"M";"33";"Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT";"N";" 1.5 m [5'] dusky shark"
"1984";"Invalid";"Eastern Cape Province";;;;"Human remains recovered, evidence of scavenging by shark/s";;"Shark involvement prior to death was not confirmed"
"1984";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"14";"Foot bitten";"N";"Raggedtooth shark, 1 m "
"1984";"Unprovoked";"KwaZulu-Natal";;"F";"14";"Remains recovered 1-4-1984 showed evidence of defense wounds";"Y";
"1983";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"16";"Left calf, ankle & foot lacerated";"N";
"1983";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"47";"Shin lacerated";"N";"Raggedtooth shark, >1 m "
"1983";"Invalid";"KwaZulu-Natal";;"M";;"Two feet found in 1.74 m, 115-kg Zambesi shark, confirmed as a postmortem scavenging";;"Invalid"
"1983";"Invalid";"KwaZulu-Natal";"Swimming";"F";;"Probable drowning and scavenging";;"Shark involvement prior to death was not confirmed"
"1983";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"29";"Inner thighs lacerated";"N";"5 m [16.5'] white shark"
"1983";"Unprovoked";"Eastern Cape Province";"Surfing";"M";;"Left arm injured by shark's tail as it swam beneath his board";"N";"3 m to 4 m [10' to 13'] shark"
"1983";"Unprovoked";"Eastern Cape Province";"Fishing";"M";"27";"Puncture wounds to foot";"N";"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)"
"1983";"Invalid";"KwaZulu-Natal";;"M";;"Survived";;"Questionable incident"
"1983";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"17";"Right calf lacerated";"N";"1.8 m [6'] Zambezi shark"
"1983";"Unprovoked";"Eastern Cape Province";"Surfing";"M";;"No injury, board bitten";"N";"Blacktip or spinner shark"
"1983";"Unprovoked";"KwaZulu-Natal";"Paddleskiing";"M";"16";"Puncture wounds to buttocks";"N";"3 m [10'] shark"
"1983";"Invalid";"KwaZulu-Natal";;"M";;"FATAL";;"Shark involvement prior to death was not confirmed"
"1983";"Unprovoked";"Western Cape Province";"Windsurfing";"M";"22";"Left foot lacerated";"N";
"1983";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"32";"No injury, rammed by shark";"N";"White shark"
"1982";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"16";"No injury, pressure ding on surfboard";"N";
"1982";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"16";"No Injury, surfboard bitten";"N";"Believed to involve a 2.8 m [9'3""] white shark"
"1982";"Unprovoked";"Western Cape Province";"Swimming";"F";"18";"Left knee, lower leg & foot bitten";"N";
"1982";"Invalid";"KwaZulu-Natal";"Boogie boarding";"M";"20";"No injury, swim fin bitten";;"Invalid"
"1982";"Unprovoked";"Eastern Cape Province";"Paddleskiing";"M";"38";"No injury, ski bitten";"N";"2.4 m [8'] white shark, species identity confirmed by tooth fragment"
"1982";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"27";"FATAL";"Y";"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard"
"1982";"Provoked";"Western Cape Province";"Fishing";"M";;"Leg bitten above ankle by hooked shark taken aboard skiboat PROVOKED INCIDENT";"N";
"1982";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"20";"Right shin & toe lacerated";"N";"Raggedtooth shark"
"1981";"Provoked";"Western Cape Province";"Inspecting teeth of supposedly dead (hooked & shot) shark";"M";;"Hand lacerated  PROVOKED INCIDENT";"N";"3.5 m [11.5'], 510-kg [1125-lb] hooked & shot white shark"
"1981";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"32";"7 lacerations to right foot";"N";"Possibly a  1.8 m [6'] Zambezi shark"
"1981";"Unprovoked";"KwaZulu-Natal";"Catching sardines";"M";;"Laceration to calf";"N";"""gray shark"""
"1981";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"27";"Shark & board collided. No injury, but board was dented";"N";"Raggedtooth shark"
"1981";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"19";"No Injury, board bitten";"N";"Raggedtooth shark, 2.5 m [8.25'] "
"1981";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"24";"Left leg bitten, surgically amputated";"N";"Tiger shark, 2.1 m [7']"
"1981";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"30";"Foot lacerated";"N";"Juvenile dusky or blacktip shark"
"1981";"Invalid";"KwaZulu-Natal";"Swimming";"M";"23";"Probable drowning & scavenging by 1.5 m tiger shark";;"Shark involvement prior to death was not confirmed"
"1980";"Unprovoked";"Eastern Cape Province";"Paddleskiing";"M";"25";"No injury, paddleski bitten";"N";"3.5 m [11.5'] shark"
"1980";"Invalid";"Eastern Cape Province";;;;"Probable drowning & scavenging";;"Shark involvement prior to death was not confirmed"
"1980";"Invalid";"KwaZulu-Natal";"Swimming";"M";;"Probable  drowning & scavenging";;"Shark involvement prior to death was not confirmed"
"1980";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"22";"No injury, board bitten";"N";"1.8 m [6'] shark"
"1980";"Unprovoked";"KwaZulu-Natal";"Free diving";"M";"52";"FATAL";"Y";"Tiger shark"
"1980";"Provoked";"Western Cape Province";"Fishing";"M";"61";"Leg lacerated by netted shark PROVOKED INCIDENT";"N";"1.5 m [5'] hammerhead shark"
"1980";"Unprovoked";"KwaZulu-Natal";"Body boarding";"M";"24";"Both hands & heel of left foot lacerated, right foot severed";"N";"2.8 m [9'3""] white shark"
"1980";"Provoked";"KwaZulu-Natal";"Spearfishing";"M";"29";"No injury, rammed & catapulted from the water by shark after he shot at it & missed PROVOKED INCIDENT";"N";"2 m [6'9""] Zambesi shark"
"1980";"Unprovoked";"Eastern Cape Province";"Swimming";"M";;"Abrasion";"N";"Hammerhead shark"
"1980";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"25";"3 small punctures on arm";"N";"Raggedtooth shark, 2 m [6'9""] "
"1980";"Invalid";"Eastern Cape Province";"Spearfishing";"M";"20";"No injury; 2 m shark made threat display and impaled itself on spear";;"Invalid"
"1979";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"18";"Shin lacerated";"N";
"1979";"Provoked";"Western Cape Province";"Shark fishing";;;"No injury to occupants; hooked shark tore out part of transom, bit skeg of motor and snapped the steel trace PROVOKED INCIDENT";"N";"White shark, 5 m "
"1979";"Provoked";"Eastern Cape Province";"Fishing";"M";;"Bitten below right knee by hooked shark pulled onboard skiboat PROVOKED INCIDENT";"N";"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed "
"1979";"Provoked";"Western Cape Province";"Spearfishing";"M";"25";"Shark rammed diver after he shot it in the head  PROVOKED INCIDENT";"N";"White shark, 2.5 m [8.25']  "
"1979";"Unprovoked";"KwaZulu-Natal";"Scuba diving";"M";;"FATAL (presumed), pieces of shark-bitten wetsuit washed ashore but no body was recovered";"Y";
"1979";"Watercraft";"Western Cape Province";;;;"No Injury";"N";
"1979";"Unprovoked";"Eastern Cape Province";"Surfing, collided with shark";"M";"19";"Punctures on left thigh";"N";"1.5 m to 2 m [5' to 6.75'] shark"
"1978";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"23";"FATAL, legs bitten ";"Y";"White shark, 2.3 m [7.5'], tooth fragment recovered"
"1978";"Invalid";"KwaZulu-Natal";"Fishing";"M";;"FATAL or scavenging by 3 m tiger shark (may have involved foul play)";;"Shark involvement prior to death was not confirmed"
"1978";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"27";"No injury, shark took his catch, then towed & pushed diver through the water ";"N";"White shark, 3.7 m [12'] "
"1978";"Watercraft";"Eastern Cape Province";;;;"No injury to occupants; shark rammed boat 4 times, bit engine & cracked the hull";"N";
"1978";"Unprovoked";"Western Cape Province";"Fishing for mackerel";;;"Shark jumped in boat, but no injury to occupants";"N";"270 kg shark"
"1978";"Unprovoked";"Western Cape Province";"Diving";"M";;"No injury, rammed by shark";"N";"White shark"
"1978";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";"17";"Left leg, ankle & foot bitten";"N";"Thought to involve a blacktip shark"
"1978";"Invalid";"KwaZulu-Natal";;"M";;"Human head recovered from 3 m [10'] tiger shark’s gut, probable drowning / scavenging";;"Shark involvement prior to death was not confirmed"
"1977";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"18";"Both legs bitten, 2 days later gangrene necessitated surgical amputation of left leg at mid-thigh";"N";"Tiger shark, 3 m [10']"
"1977";"Watercraft";"Western Cape Province";"Fishing for bottom fish";;;"No injury to occupant: shark bit boat's port chine";"N";"3 m [10'] white shark (Tooth  recovered from boat)"
"1977";"Provoked";"Western Cape Province";"Standing";"M";;"Shark lacerated his hand when he grabbed it by the tail PROVOKED INCIDENT";"N";"1.5 to 2 m [5' to 6.75'] shark"
"1977";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"25";"No injury, shark bit speargun & pushed diver through the water";"N";"White shark, 5 m [16.5'] "
"1977";"Watercraft";"Western Cape Province";"Fishing";"M";;"Shark leapt into boat, pinning Mamacos beneath and fracturing his pelvis, then trashed the boat rendering it inoperable";"N";"White shark"
"1977";"Watercraft";"Western Cape Province";"Fishing for yellowtail";"M";;"Lombard's thigh was lacerated by shark that leapt into boat ";"N";"Mako shark, 2.3 m, 150-kg  "
"1977";"Unprovoked";"Western Cape Province";"Swimming";"M";"31";"Right foot bitten";"N";
"1976";"Unprovoked";"Western Cape Province";"Thrashing the water / imitating the shark victim from ""Jaws""";"M";"19";"Torso bitten";"N";"White shark, 3 m [10'] k"
"1976";"Invalid";"KwaZulu-Natal";"Swimming";"M";"17";"Laceration to foot";;"Questionable incident"
"1976";"Provoked";"Western Cape Province";"Fishing for white shark";;;"No injury to occupants. Hooked shark bit boat's transom, PROVOKED INCIDENT";"N";"White shark, 4.8 m "
"1976";"Watercraft";"Western Cape Province";"Boat";;;"No injury to occupants, shark leapt on bow of boat";"N";"White shark"
"1976";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"20";"Left thigh lacerated";"N";"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment"
"1976";"Watercraft";"Western Cape Province";"Competing in a light tackle game fishing";;;"Shark following hooked fish, rammed & holed boat";"N";"Mako shark, 180-kg [397-lb]"
"1976";"Watercraft";"Western Cape Province";"Fishing";;;"No injury to occupants, shark buckled prop shaft";"N";"Whale shark"
"1976";"Watercraft";"Western Cape Province";;;;"Shark breached hull of boat";"N";"White shark named “Spotty”"
"1976";"Watercraft";"Western Cape Province";;;;"Shark leapt into boat, hitting Fanie Schoeman on his back before sliding into the sea";"N";"White shark named “Spotty”"
"1976";"Watercraft";"Western Cape Province";"Shark watching";;;"No injury to occupants, shark rammed bow, driving its head into the hull";"N";"2.5 m [8.25'] white shark"
"1976";"Provoked";"Western Cape Province";"Shark fishing";;;"No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT";"N";"4 m [13'] shark"
"1976";"Provoked";"Western Cape Province";"Fishing for snoek & yellowtail";;;"Hooked shark leapt onboard & into fish well, which it smashed PROVOKED INCIDENT";"N";"White shark, 3 m [10'] "
"1975";"Unprovoked";"KwaZulu-Natal";"Standing";"M";"33";"Left foot lacerated";"N";"Juvenile dusky shark"
"1975";"Unprovoked";"KwaZulu-Natal";"Paddleskiing";"M";"21";"Right foot & ankle lacerated";"N";"1.2 m [4'] shark"
"1975";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"19";"Left leg & surfboard bitten";"N";"White shark, 2.4 m [8']"
"1975";"Invalid";"KwaZulu-Natal";;"M";;"Probable drowning / scavenging";;"Shark involvement prior to death was not confirmed"
"1975";"Unprovoked";"Western Cape Province";"Spearfishing Competition";"M";;"No injury, rammed by shark";"N";"White shark, 600-kg [1323-lb]"
"1975";"Invalid";"KwaZulu-Natal";"Swimming";"M";;"Probable drowning / scavenging by a white shark";;"Shark involvement prior to death was not confirmed"
"1975";"Provoked";"Western Cape Province";"Attempting to drag hooked shark ashore by its tail";"M";;"Left leg bitten  PROVOKED INCIDENT";"N";"1.5 m [5']  shark"
"1975";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";"16";"Foot severed";"N";"1.5 m [5'] shark"
"1975";"Watercraft";"Western Cape Province";;;;"Shark bit rudder & hull";"N";"Mako shark, 3 m [10'] "
"1975";"Provoked";"Western Cape Province";"Fishing";"M";"12";"Foot bitten by shark he was gaffing  PROVOKED INCIDENT";"N";"Copper shark, 50-kg [110-b] "
"1974";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"22";"Left knee lacerated";"N";"Raggedtooth shark, 1.5 m [5'] "
"1974";"Unprovoked";"Eastern Cape Province";"Standing";"M";"19";"Lower right leg lacerated";"N";
"1974";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";"17";"Right foot lacerated";"N";"Juvenile dusky shark"
"1974";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";"21";"No injury, surfboard bitten";"N";"1.8 m [6'] shark"
"1974";"Watercraft";"Western Cape Province";"Fishing for kob";;;"No injury to occupant, shark holed boat";"N";"White shark"
"1974";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"14";"Right calf removed, leg surgically amputated below the knee";"N";
"1974";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"19";"Right shin lacerated";"N";
"1974";"Watercraft";"Western Cape Province";"Fishing for red fish";;;"No injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline";"N";"5 m white shark"
"1974";"Watercraft";"Western Cape Province";"Fishing for kob";;;"No injury,  shark leapt into boat & bit one of the boat's seats";"N";"White shark"
"1974";"Unprovoked";"KwaZulu-Natal";"Sitting";"M";"42";"2 minor lacerations in foot";"N";"Raggedtooth shark, 1 m "
"1974";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"33";"Knee & calf lacerated";"N";"2 m to 2.5 m [6.75'  to 8.25'] shark"
"1973";"Sea Disaster";"KwaZulu-Natal";"Being pulled to shore from wreck of 25-ton fishing vessel Alan S";"M";;"FATAL, thigh bitten ";"Y";
"1973";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"26";"Hip bruised";"N";"2 m shark, possibly a dusky or blacktip shark"
"1973";"Provoked";"KwaZulu-Natal";"Fishing from paddleski";"M";;"Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT";"N";"1 m shark"
"1973";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"13";"No injury, surboard flung into air & dented";"N";
"1972";"Unprovoked";"Western Cape Province";"Treading water";"M";"29";"Lower left leg & foot bitten";"N";
"1972";"Unprovoked";"Western Cape Province";"Swimming";"M";;"No injury, swim fin bitten";"N";"White shark, > 3 m [10']"
"1972";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"20";"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""";"Y";
"1972";"Unprovoked";"KwaZulu-Natal";"Sitting in shallows";"F";"30";"Foot bitten";"N";"Zambesi shark"
"1971";"Unprovoked";"Western Cape Province";"Swimming";"F";"16";"Right forearm bitten";"N";"White shark, 3 m [10']rk"
"1971";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"25";"Wrist & hand lacerated";"N";"1.5 m to 2 m shark"
"1971";"Unprovoked";"Western Cape Province";"Surfing";"M";"21";"Leg & surfboard bitten";"N";"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board "
"1971";"Unprovoked";"Western Cape Province";"Swimming";"M";">50";"FATAL, multiple bites ";"Y";"White shark according to tooth pattern and witnesses"
"1970";"Provoked";"KwaZulu-Natal";"Scuba Diving";"M";"25";"2 cm laceration on knee PROVOKED INCIDENT";"N";"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female "
"1968";"Invalid";"KwaZulu-Natal";"Freediving";"M";;"No injury";;"Questionable incident"
"1968";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"28";"No injury, left elbow & torso bumped by sharks";"N";"2 scalloped hammerhead sharks, 1.5 m & 1.8 m [5' & 6']"
"1968";"Invalid";"KwaZulu-Natal";;"M";"30";"No injury";;"Questionable incident"
"1968";"Watercraft";"KwaZulu-Natal";"Fishing";"M";"22";"Shark leapt into boat, landed on Hlope's back, then bit his left forearm";"N";"90-kg ""blackfin"" shark"
"1968";"Unprovoked";"KwaZulu-Natal";"Wading & pushing dinghy toward  the shallows";"M";"35";"Left thigh lacerated";"N";"1.5 m to 1.8m [5' to 6'] shark"
"1967";"Unprovoked";"Western Cape Province";"Surfing";"M";"22";"Right ankle & foot bitten";"N";"1.5 m to 1.8 m [5' to 6'] shark"
"1967";"Invalid";"KwaZulu-Natal";;"F";;"Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger shark’s gut ";;"Shark involvement prior to death was not confirmed"
"1967";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"32";"Punctures in right buttock & thigh, abrasion on right forearm";"N";"White shark, 3 m [10'] "
"1967";"Watercraft";"Western Cape Province";"Fishing for rock lobster";;;"Holed & sank boat, 1 man flung into water but ignored by the shark";"N";"White shark or thresher shark"
"1967";"Provoked";"Western Cape Province";"Spearfishing Competition";"M";;"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT";"N";"2.1 m [7'] sandtiger shark"
"1966";"Invalid";"KwaZulu-Natal";"Netting sharks";"M";;"No attack, no injury to occupant: a 400-lb grey shark bit nets in the water ";;"Invalid"
"1966";"Provoked";"Western Cape Province";"Helping men land a shark";"M";"33";"Left leg lacerated by hooked shark  PROVOKED INCIDENT";"N";"Copper shark"
"1966";"Unprovoked";"Eastern Cape Province";"Standing";"M";"16";"Right calf lacerated";"N";"1.5 m to 1.8 m [5' to 6'] Zambesi shark"
"1966";"Unprovoked";"KwaZulu-Natal";"Body surfing";"M";"15";"Lower legs bitten";"N";"1.8 m to 2 m [6' to 6'9""] shark"
"1965";"Unprovoked";"KwaZulu-Natal";"Treading water";"M";"25";"Abdomen, buttock, thigh, arm & hand bitten";"N";"1.8 m [6'], 136-kg [300-lb] shark "
"1965";"Unprovoked";"KwaZulu-Natal";"Paddling rescue ski";"M";"22";"No injury, ski bitten";"N";"White shark, 3.7 m [12'] "
"1965";"Unprovoked";"KwaZulu-Natal";"Body surfing";"M";"20";"Right thigh punctured";"N";
"1965";"Invalid";"Eastern Cape Province";"Bather";;;"No details";;"Questionable incident"
"1964";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"19";"Hand, ankle & calf lacerated";"N";"Raggedtooth shark "
"1964";"Provoked";"KwaZulu-Natal";"Surf fishing";"M";;"Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT";"N";
